compound,tr,condition,trial
Uracil,1.92,run1,0
Butylbenzene,2.2720000000000002,run1,0
Pentylbenzene,2.2720000000000002,run1,0
o-Terphenyl,1.572,run1,0
Triphenylene,1.572,run1,0
Caffeine,1.92,runD,0
Phenol,1.92,runD,0
Benzylamine,1.92,runE,0
Phenol,1.92,runE,0
Benzylamine,1.92,runF,0
Phenol,1.92,runF,0
Uracil,1.92,run1,1
Butylbenzene,2.2720000000000002,run1,1
Pentylbenzene,2.2720000000000002,run1,1
o-Terphenyl,1.572,run1,1
Triphenylene,1.572,run1,1
Caffeine,1.92,runD,1
Phenol,1.92,runD,1
Benzylamine,1.92,runE,1
Phenol,1.92,runE,1
Benzylamine,1.92,runF,1
Phenol,1.92,runF,1
Uracil,1.92,run1,2
Butylbenzene,2.2720000000000002,run1,2
Pentylbenzene,2.2720000000000002,run1,2
o-Terphenyl,1.572,run1,2
Triphenylene,1.572,run1,2
Caffeine,1.92,runD,2
Phenol,1.92,runD,2
Benzylamine,1.92,runE,2
Phenol,1.92,runE,2
Benzylamine,1.92,runF,2
Phenol,1.92,runF,2
Uracil,1.98,run1,3
Butylbenzene,2.372,run1,3
Pentylbenzene,2.372,run1,3
o-Terphenyl,1.6320000000000001,run1,3
Triphenylene,1.6320000000000001,run1,3
Caffeine,1.98,runD,3
Phenol,1.98,runD,3
Benzylamine,1.98,runE,3
Phenol,1.98,runE,3
Benzylamine,1.98,runF,3
Phenol,1.98,runF,3
Uracil,1.98,run1,4
Butylbenzene,2.372,run1,4
Pentylbenzene,2.372,run1,4
o-Terphenyl,1.6320000000000001,run1,4
Triphenylene,1.6320000000000001,run1,4
Caffeine,1.98,runD,4
Phenol,1.98,runD,4
Benzylamine,1.98,runE,4
Phenol,1.98,runE,4
Benzylamine,1.98,runF,4
Phenol,1.98,runF,4
Uracil,1.98,run1,5
Butylbenzene,2.372,run1,5
Pentylbenzene,2.372,run1,5
o-Terphenyl,1.6320000000000001,run1,5
Triphenylene,1.6320000000000001,run1,5
Caffeine,1.98,runD,5
Phenol,1.98,runD,5
Benzylamine,1.98,runE,5
Phenol,1.98,runE,5
Benzylamine,1.98,runF,5
Phenol,1.98,runF,5
Uracil,2.04,run1,6
Butylbenzene,2.4480000000000004,run1,6
Pentylbenzene,2.4480000000000004,run1,6
o-Terphenyl,1.7080000000000002,run1,6
Triphenylene,1.7080000000000002,run1,6
Caffeine,2.04,runD,6
Phenol,2.04,runD,6
Benzylamine,2.04,runE,6
Phenol,2.04,runE,6
Benzylamine,2.04,runF,6
Phenol,2.04,runF,6
Uracil,2.04,run1,7
Butylbenzene,2.4480000000000004,run1,7
Pentylbenzene,2.4480000000000004,run1,7
o-Terphenyl,1.7080000000000002,run1,7
Triphenylene,1.7080000000000002,run1,7
Caffeine,2.04,runD,7
Phenol,2.04,runD,7
Benzylamine,2.04,runE,7
Phenol,2.04,runE,7
Benzylamine,2.04,runF,7
Phenol,2.04,runF,7
Uracil,2.04,run1,8
Butylbenzene,2.4480000000000004,run1,8
Pentylbenzene,2.4480000000000004,run1,8
o-Terphenyl,1.7080000000000002,run1,8
Triphenylene,1.7080000000000002,run1,8
Caffeine,2.04,runD,8
Phenol,2.04,runD,8
Benzylamine,2.04,runE,8
Phenol,2.04,runE,8
Benzylamine,2.04,runF,8
Phenol,2.04,runF,8
Uracil,2.1,run1,9
Butylbenzene,2.5,run1,9
Pentylbenzene,2.5,run1,9
o-Terphenyl,1.8,run1,9
Triphenylene,1.8,run1,9
Caffeine,2.1,runD,9
Phenol,2.1,runD,9
Benzylamine,2.1,runE,9
Phenol,2.1,runE,9
Benzylamine,2.1,runF,9
Phenol,2.1,runF,9
Uracil,2.1,run1,10
Butylbenzene,2.5,run1,10
Pentylbenzene,2.5,run1,10
o-Terphenyl,1.8,run1,10
Triphenylene,1.8,run1,10
Caffeine,2.1,runD,10
Phenol,2.1,runD,10
Benzylamine,2.1,runE,10
Phenol,2.1,runE,10
Benzylamine,2.1,runF,10
Phenol,2.1,runF,10
Uracil,2.1,run1,11
Butylbenzene,2.5,run1,11
Pentylbenzene,2.5,run1,11
o-Terphenyl,1.8,run1,11
Triphenylene,1.8,run1,11
Caffeine,2.1,runD,11
Phenol,2.1,runD,11
Benzylamine,2.1,runE,11
Phenol,2.1,runE,11
Benzylamine,2.1,runF,11
Phenol,2.1,runF,11
Uracil,2.16,run1,12
Butylbenzene,2.528,run1,12
Pentylbenzene,2.528,run1,12
o-Terphenyl,1.908,run1,12
Triphenylene,1.908,run1,12
Caffeine,2.16,runD,12
Phenol,2.16,runD,12
Benzylamine,2.16,runE,12
Phenol,2.16,runE,12
Benzylamine,2.16,runF,12
Phenol,2.16,runF,12
Uracil,2.16,run1,13
Butylbenzene,2.528,run1,13
Pentylbenzene,2.528,run1,13
o-Terphenyl,1.908,run1,13
Triphenylene,1.908,run1,13
Caffeine,2.16,runD,13
Phenol,2.16,runD,13
Benzylamine,2.16,runE,13
Phenol,2.16,runE,13
Benzylamine,2.16,runF,13
Phenol,2.16,runF,13
Uracil,2.16,run1,14
Butylbenzene,2.528,run1,14
Pentylbenzene,2.528,run1,14
o-Terphenyl,1.908,run1,14
Triphenylene,1.908,run1,14
Caffeine,2.16,runD,14
Phenol,2.16,runD,14
Benzylamine,2.16,runE,14
Phenol,2.16,runE,14
Benzylamine,2.16,runF,14
Phenol,2.16,runF,14
