r,s,B_score,condition,H,S,A,B_indicator,C,B_recalc
0.73,0.21,0.61,1,2.2610071818626825,1.1285938896354526,1.727958835523184,1.6919680807371065,1.6644747047826591,0.015993560110098937
0.73,0.21,0.62,1,1.884573032584115,1.2997,1.5251820430598353,1.001,1.5034776619155403,0.01408771627361855
0.73,0.21,0.63,1,1.6590828048339972,1.278693235826491,1.6611347741331244,1.675633175100657,2.051873927613357,0.0160648587977472
0.6,0.38,0.32,2,1.478348032554074,1.2415461925813907,1.001,1.5737586481123134,1.8614352504720284,0.012412008197220561
0.6,0.38,0.32,2,1.963861427869161,1.1112580867033315,1.9298794504983057,1.8961386357544017,2.743004258679233,0.016024148642761624
0.6,0.38,0.33,2,1.212595078928527,1.1823085792438048,1.0010669312228437,1.2231578405570578,1.410974052015035,0.015790388002913033
0.69,0.42,0.74,3,1.8034803232949808,1.2753011108795533,1.5351286987742676,1.5368769033884058,1.5461665813083494,0.0160659488161999
0.69,0.42,0.77,3,1.448751390629162,1.0293420220293483,1.4552911291183033,1.4336002950285747,1.8624198536576213,0.016060243065798067
0.69,0.42,0.73,3,1.6673646745324924,1.2335797817105278,1.6702822089510247,1.6378065069275454,2.083389032838091,0.016030931198132193
0.7,0.31,0.63,4,2.104328873890092,1.09308294565287,1.574051206251327,1.6290564744418148,1.593010044127768,0.01599648778796436
0.7,0.31,0.65,4,1.6296113431074246,1.0022201158824233,1.6879677999245613,1.664684650391308,2.319289080323447,0.01602543130960642
0.7,0.31,0.62,4,1.8382955301056176,1.1235189145696236,1.4946078221485113,1.4637718563207143,1.4843669597973739,0.0160269776197081
0.66,0.27,0.53,5,1.7629237672958724,1.1396533058045757,1.6993692737795136,1.733966410183693,2.324519650076926,0.016001085966103827
0.66,0.27,0.54,5,1.2515130515271027,1.2186778237893479,1.2433130633286078,1.0010001072142674,1.4746691694314527,0.01593812805501774
0.66,0.27,0.55,5,1.4244346485218262,1.100325616482312,1.742275324506009,1.4174331769224644,1.4220335777644633,0.016076386419230558
0.62,0.33,0.54,6,1.6706339685573353,1.0746562852389283,1.7014283779893733,1.6407791831298417,2.2672380676772943,0.01600919353721971
0.62,0.33,0.5,6,1.8276877567134744,1.2519637593352666,1.540978303827395,1.4515895622985453,1.002,0.013010087032863911
0.62,0.33,0.53,6,1.0015124777802014,1.2526833547635847,1.287540820886698,1.2664999086320132,1.5363035678791845,0.01596242384793237
0.7,0.22,0.58,7,1.4301911147784114,1.2004055521399672,1.415842721111271,1.4053090894186178,1.6338230632034925,0.015989214124024688
0.7,0.22,0.6,7,1.3441775967167013,1.248032335997606,1.0010000018273681,1.3285878855354851,1.6128652033667943,0.015325316867685039
0.7,0.22,0.61,7,1.963889385583198,1.15580367288771,1.739734334127824,1.9579755125159388,2.6185958208364637,0.015272596158620243
0.71,0.41,0.79,8,1.3952055368947989,1.2922490495864225,1.3499293834885453,1.0010000000000032,1.6905893145068789,0.015481860136835668
0.71,0.41,0.8,8,1.7890850604332418,1.060117714468985,1.416920583054905,1.4374647476180908,1.4194188354657142,0.01605389860138726
0.71,0.41,0.82,8,2.293104435942012,1.2077894187757152,1.7582744273834652,1.713696041489197,1.7793703047201994,0.015975749027069885
0.65,0.33,0.62,9,1.5418835872206076,1.2560674386842883,1.0010001310901098,1.2838514880514955,1.274406650390008,0.016005322954106473
0.65,0.33,0.65,9,1.3736014328092447,1.0859487986657634,1.358453270466898,1.3567388087534997,1.6399135435075962,0.016049075273584516
0.65,0.33,0.69,9,1.001500002549628,1.2997,1.3464812996426934,1.3333725292710525,1.6515358709863774,0.01592985133813038
0.68,0.19,0.57,10,1.0015002943826152,1.2997,1.3394459611101253,1.6429968522261562,1.327599777286271,0.01596951549746247
0.68,0.19,0.55,10,1.6832338549677166,1.1495647035760952,1.735083742589309,1.6628649107557725,2.237890286238641,0.01595231954923953
0.68,0.19,0.55,10,1.245461291356376,1.203609547655689,1.4592586173178566,1.2428183253189085,1.0020008109709906,0.015795571170808875
