ccondition,compound,k,tR,note
1,Phenol,-0.6,1.2,baseline
1,Nitrobenzene,2.0,9.0,from A
1,Aniline,2.9124008372251757,11.737202511675527,from B and Nitrobenzene
1,Benzylamine,-1.0439652588623112,-0.13189577658693352,from C and Phenol baseline
2,Phenol,-0.6,1.2,baseline
2,Nitrobenzene,2.0,9.0,from A
2,Aniline,3.1287034162825154,12.386110248847547,from B and Nitrobenzene
2,Benzylamine,-1.2030827122332592,-0.6092481366997777,from C and Phenol baseline
3,Phenol,-0.6,1.2,baseline
3,Nitrobenzene,2.0,9.0,from A
3,Aniline,3.0721891368963505,12.21656741068905,from B and Nitrobenzene
3,Benzylamine,-1.0983950935608122,-0.29518528068243666,from C and Phenol baseline
4,Phenol,-0.6,1.2,baseline
4,Nitrobenzene,2.0,9.0,from A
4,Aniline,3.171675320769225,12.515025962307675,from B and Nitrobenzene
4,Benzylamine,-1.0793332168497176,-0.23799965054915284,from C and Phenol baseline
5,Phenol,-0.6,1.2,baseline
5,Nitrobenzene,2.0,9.0,from A
5,Aniline,2.7682664628802827,11.304799388640848,from B and Nitrobenzene
5,Benzylamine,-1.0442444794545684,-0.13273343836370533,from C and Phenol baseline
6,Phenol,-0.6,1.2,baseline
6,Nitrobenzene,2.0,9.0,from A
6,Aniline,2.9059124360402664,11.7177373081208,from B and Nitrobenzene
6,Benzylamine,-0.9611083271112956,0.1166750186661133,from C and Phenol baseline
7,Phenol,-0.6,1.2,baseline
7,Nitrobenzene,2.0,9.0,from A
7,Aniline,3.127914991646694,12.383744974940083,from B and Nitrobenzene
7,Benzylamine,-1.1730568174813503,-0.5191704524440508,from C and Phenol baseline
8,Phenol,-0.6,1.2,baseline
8,Nitrobenzene,2.0,9.0,from A
8,Aniline,2.7681071927381944,11.304321578214584,from B and Nitrobenzene
8,Benzylamine,-0.9778756909385585,0.06637292718432442,from C and Phenol baseline
9,Phenol,-0.6,1.2,baseline
9,Nitrobenzene,2.0,9.0,from A
9,Aniline,2.649308550717365,10.947925652152096,from B and Nitrobenzene
9,Benzylamine,-0.9131712129767964,0.26048636106961087,from C and Phenol baseline
10,Phenol,-0.6,1.2,baseline
10,Nitrobenzene,2.0,9.0,from A
10,Aniline,3.032453392200558,12.097360176601676,from B and Nitrobenzene
10,Benzylamine,-0.9134981748991805,0.2595054753024585,from C and Phenol baseline
