r,s,B_score,condition
0.73,0.21,0.61,1
0.73,0.21,0.62,1
0.73,0.21,0.63,1
0.60,0.38,0.32,2
0.60,0.38,0.32,2
0.60,0.38,0.33,2
0.69,0.42,0.74,3
0.69,0.42,0.77,3
0.69,0.42,0.73,3
0.70,0.31,0.63,4
0.70,0.31,0.65,4
0.70,0.31,0.62,4
0.66,0.27,0.53,5
0.66,0.27,0.54,5
0.66,0.27,0.55,5
0.62,0.33,0.54,6
0.62,0.33,0.50,6
0.62,0.33,0.53,6
0.70,0.22,0.58,7
0.70,0.22,0.60,7
0.70,0.22,0.61,7
0.71,0.41,0.79,8
0.71,0.41,0.80,8
0.71,0.41,0.82,8
0.65,0.33,0.62,9
0.65,0.33,0.65,9
0.65,0.33,0.69,9
0.68,0.19,0.57,10
0.68,0.19,0.55,10
0.68,0.19,0.55,10
