condition,compound,k,tR,note
1,Phenol,0.19999999999999996,1.2,baseline
1,Nitrobenzene,2.0,3.0,from A
1,Aniline,2.9124008372251757,3.9124008372251757,from B and Nitrobenzene
1,Benzylamine,0.3479884196207703,1.3479884196207703,from C and Phenol baseline
2,Phenol,0.19999999999999996,1.2,baseline
2,Nitrobenzene,2.0,3.0,from A
2,Aniline,3.1287034162825154,4.128703416282516,from B and Nitrobenzene
2,Benzylamine,0.40102757074441964,1.4010275707444197,from C and Phenol baseline
3,Phenol,0.19999999999999996,1.2,baseline
3,Nitrobenzene,2.0,3.0,from A
3,Aniline,3.0721891368963505,4.07218913689635,from B and Nitrobenzene
3,Benzylamine,0.366131697853604,1.366131697853604,from C and Phenol baseline
4,Phenol,0.19999999999999996,1.2,baseline
4,Nitrobenzene,2.0,3.0,from A
4,Aniline,3.171675320769225,4.171675320769225,from B and Nitrobenzene
4,Benzylamine,0.35977773894990583,1.359777738949906,from C and Phenol baseline
5,Phenol,0.19999999999999996,1.2,baseline
5,Nitrobenzene,2.0,3.0,from A
5,Aniline,2.7682664628802827,3.7682664628802827,from B and Nitrobenzene
5,Benzylamine,0.34808149315152276,1.3480814931515228,from C and Phenol baseline
6,Phenol,0.19999999999999996,1.2,baseline
6,Nitrobenzene,2.0,3.0,from A
6,Aniline,2.9059124360402664,3.9059124360402664,from B and Nitrobenzene
6,Benzylamine,0.3203694423704318,1.3203694423704317,from C and Phenol baseline
7,Phenol,0.19999999999999996,1.2,baseline
7,Nitrobenzene,2.0,3.0,from A
7,Aniline,3.127914991646694,4.127914991646694,from B and Nitrobenzene
7,Benzylamine,0.39101893916045,1.39101893916045,from C and Phenol baseline
8,Phenol,0.19999999999999996,1.2,baseline
8,Nitrobenzene,2.0,3.0,from A
8,Aniline,2.7681071927381944,3.7681071927381944,from B and Nitrobenzene
8,Benzylamine,0.3259585636461861,1.3259585636461861,from C and Phenol baseline
9,Phenol,0.19999999999999996,1.2,baseline
9,Nitrobenzene,2.0,3.0,from A
9,Aniline,2.649308550717365,3.649308550717365,from B and Nitrobenzene
9,Benzylamine,0.3043904043255987,1.3043904043255987,from C and Phenol baseline
10,Phenol,0.19999999999999996,1.2,baseline
10,Nitrobenzene,2.0,3.0,from A
10,Aniline,3.032453392200558,4.0324533922005585,from B and Nitrobenzene
10,Benzylamine,0.3044993916330601,1.30449939163306,from C and Phenol baseline
