condition,r,s,compound,k,tR,note
1,0.73,0.21,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
1,0.73,0.21,Nitrobenzene,2.0,9.0,from A
1,0.73,0.21,Aniline,2.9124008372251757,11.737202511675527,from B and Nitrobenzene
1,0.73,0.21,Benzylamine,-1.0439652588623112,-0.13189577658693352,from C and Phenol baseline
1,0.73,0.21,Phenol(pred),3.2761837684774293,12.828551305432287,from A and Nitrobenzene
1,0.73,0.21,Aniline,2.9124008372251757,11.737202511675527,from B and Nitrobenzene
1,0.73,0.21,Benzylamine,-1.0439652588623112,-0.13189577658693352,from C and Phenol
2,0.6,0.38,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
2,0.6,0.38,Nitrobenzene,2.0,9.0,from A
2,0.6,0.38,Aniline,3.1287034162825154,12.386110248847547,from B and Nitrobenzene
2,0.6,0.38,Benzylamine,-1.2030827122332592,-0.6092481366997777,from C and Phenol baseline
2,0.6,0.38,Phenol(pred),2.6212975878140994,10.863892763442298,from A and Nitrobenzene
2,0.6,0.38,Aniline,3.1287034162825154,12.386110248847547,from B and Nitrobenzene
2,0.6,0.38,Benzylamine,-1.2030827122332592,-0.6092481366997777,from C and Phenol
3,0.69,0.42,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
3,0.69,0.42,Nitrobenzene,2.0,9.0,from A
3,0.69,0.42,Aniline,3.0721891368963505,12.21656741068905,from B and Nitrobenzene
3,0.69,0.42,Benzylamine,-1.0983950935608122,-0.29518528068243666,from C and Phenol baseline
3,0.69,0.42,Phenol(pred),3.1071346912290636,12.32140407368719,from A and Nitrobenzene
3,0.69,0.42,Aniline,3.0721891368963505,12.21656741068905,from B and Nitrobenzene
3,0.69,0.42,Benzylamine,-1.0983950935608122,-0.29518528068243666,from C and Phenol
4,0.7,0.31,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
4,0.7,0.31,Nitrobenzene,2.0,9.0,from A
4,0.7,0.31,Aniline,3.171675320769225,12.515025962307675,from B and Nitrobenzene
4,0.7,0.31,Benzylamine,-1.0793332168497176,-0.23799965054915284,from C and Phenol baseline
4,0.7,0.31,Phenol(pred),3.1710845522162665,12.513253656648798,from A and Nitrobenzene
4,0.7,0.31,Aniline,3.171675320769225,12.515025962307675,from B and Nitrobenzene
4,0.7,0.31,Benzylamine,-1.0793332168497176,-0.23799965054915284,from C and Phenol
5,0.66,0.27,Phenol,-0.6,1.2000000000000002,baseline(measured_fallback)
5,0.66,0.27,Nitrobenzene,2.0,9.0,from A
5,0.66,0.27,Aniline,2.7682664628802827,11.304799388640848,from B and Nitrobenzene
